CUI	preferred_text	alias_text	AUI	STT	ISPREF	SAB	TTY
C0001109	Acid phosphatase (substance)	Acid phosphatase	A2922314	VC	Y	SNOMEDCT_US	PT
C0001109	Acid phosphatase (substance)	Acid phosphomonoesterase	A2922315	PF	Y	SNOMEDCT_US	SY
C0001109	Acid phosphatase (substance)	ACP - Acid phosphatase	A3088915	PF	Y	SNOMEDCT_US	SY
C0001109	Acid phosphatase (substance)	Acid phosphatase (substance)	A3436863	PF	Y	SNOMEDCT_US	FN
C0001185	Acridine orange stain (substance)	Acridine orange	A3881529	VC	Y	SNOMEDCT_US	SY
C0001185	Acridine orange stain (substance)	Euchrysine	A3020071	PF	N	SNOMEDCT_US	SY
C0001185	Acridine orange stain (substance)	Acridine orange stain	A22944631	PF	N	SNOMEDCT_US	OAP
C0001185	Acridine orange stain (substance)	Acridine orange stain	A3883828	PF	Y	SNOMEDCT_US	PT
C0001185	Acridine orange stain (substance)	Basic orange 14	A3799292	PF	Y	SNOMEDCT_US	SY
C0001185	Acridine orange stain (substance)	Acridine orange stain (substance)	A22908937	PF	N	SNOMEDCT_US	OAF
C0001185	Acridine orange stain (substance)	Acridine orange stain (substance)	A3887467	PF	Y	SNOMEDCT_US	FN
C0001185	Acridine orange stain (substance)	Acridine orange (substance)	A4987998	PF	Y	SNOMEDCT_US	OF
C0001483	Family Adenoviridae (organism)	Adenovirus	A22926809	VO	N	SNOMEDCT_US	OAS
C0001483	Family Adenoviridae (organism)	Adenovirus	A22950729	VO	N	SNOMEDCT_US	OAP
C0001483	Family Adenoviridae (organism)	Adenovirus, NOS	A4770601	VO	N	SNOMEDCT_US	IS
C0001483	Family Adenoviridae (organism)	Adenoviridae	A11738144	PF	N	SNOMEDCT_US	PT
C0001483	Family Adenoviridae (organism)	Adenoviridae	A22924727	PF	N	SNOMEDCT_US	OAS
C0001483	Family Adenoviridae (organism)	Adenovirus group	A22990169	PF	N	SNOMEDCT_US	OAS
C0001483	Family Adenoviridae (organism)	Adenovirus group	A11731445	PF	Y	SNOMEDCT_US	SY
C0001483	Family Adenoviridae (organism)	Adenovirus group, NOS	A4770600	VO	N	SNOMEDCT_US	IS
C0001483	Family Adenoviridae (organism)	Family: Adenovirus	A22936705	PF	N	SNOMEDCT_US	OAS
C0001483	Family Adenoviridae (organism)	Family: Adenovirus	A30240838	PF	N	SNOMEDCT_US	IS
C0001483	Family Adenoviridae (organism)	Adenovirus (organism)	A22840771	PF	Y	SNOMEDCT_US	OAF
C0001483	Family Adenoviridae (organism)	Family Adenoviridae (organism)	A11729288	PF	Y	SNOMEDCT_US	FN
C0001483	Family Adenoviridae (organism)	Family Adenoviridae	A11733730	PF	Y	SNOMEDCT_US	SY
C0001655	Adrenocorticotropic hormone (substance)	Corticotropin	A2880214	PF	N	SNOMEDCT_US	SY
C0001655	Adrenocorticotropic hormone (substance)	Corticotrophin	A2880212	VO	N	SNOMEDCT_US	SY
C0001655	Adrenocorticotropic hormone (substance)	Corticotrophins	A22855934	VO	N	SNOMEDCT_US	OAP
C0001655	Adrenocorticotropic hormone (substance)	Corticotropins	A22841032	VO	Y	SNOMEDCT_US	OAS
C0001655	Adrenocorticotropic hormone (substance)	ACTH	A29554518	PF	N	SNOMEDCT_US	IS
C0001655	Adrenocorticotropic hormone (substance)	Adrenocorticotropic hormone	A2989605	VC	Y	SNOMEDCT_US	PT
C0001655	Adrenocorticotropic hormone (substance)	Adrenocorticotrophic hormone	A3092775	VO	Y	SNOMEDCT_US	SY
C0001655	Adrenocorticotropic hormone (substance)	Adrenocorticotropin	A2878168	PF	N	SNOMEDCT_US	SY
C0001655	Adrenocorticotropic hormone (substance)	ACTH preparation	A29549452	PF	N	SNOMEDCT_US	OAS
C0001655	Adrenocorticotropic hormone (substance)	Adrenocorticotropic hormone preparation	A29565047	PF	N	SNOMEDCT_US	OAS
C0001655	Adrenocorticotropic hormone (substance)	Corticotrophic hormone	A29498432	PF	N	SNOMEDCT_US	OAS
C0001655	Adrenocorticotropic hormone (substance)	Corticotropic hormone	A29514591	VO	Y	SNOMEDCT_US	OAS
C0001655	Adrenocorticotropic hormone (substance)	Corticotropin preparation	A29497717	PF	N	SNOMEDCT_US	OAP
